d
ate,description,amount,category
2024-01-05,Salary Deposit,4500.00,Income
2024-01-06,Rent Payment,-1200.00,Housing
2024-01-07,Netflix Subscription,-15.99,Entertainment
2024-01-08,Grocery Store,-87.45,Groceries
2024-01-09,Electric Company,-95.00,Utilities
2024-01-10,Coffee Shop,-5.50,Food
2024-01-11,Gas Station,-45.00,Transportation
2024-01-12,Amazon Purchase,-67.89,Shopping
2024-01-13,Restaurant Dinner,-42.50,Food
2024-01-14,Spotify Premium,-9.99,Entertainment
2024-01-15,Gym Membership,-50.00,Health
2024-01-16,Grocery Store,-112.30,Groceries
2024-01-17,Uber Ride,-18.75,Transportation
2024-01-18,Phone Bill,-85.00,Utilities
2024-01-19,Coffee Shop,-6.25,Food
2024-01-20,Movie Theater,-28.00,Entertainment
2024-01-21,Freelance Payment,850.00,Income
2024-01-22,Insurance Premium,-150.00,Insurance
2024-01-23,Grocery Store,-95.60,Groceries
2024-01-24,Restaurant Lunch,-22.00,Food
2024-01-25,Gas Station,-52.00,Transportation
2024-01-26,Online Course,-199.00,Education
2024-01-27,Coffee Shop,-5.75,Food
2024-01-28,Pharmacy,-35.50,Health
2024-01-29,Target Shopping,-78.90,Shopping
2024-01-30,Water Bill,-45.00,Utilities
2024-01-31,Interest Income,12.50,Income
2024-02-05,Salary Deposit,4500.00,Income
2024-02-06,Rent Payment,-1200.00,Housing
2024-02-07,Netflix Subscription,-15.99,Entertainment
2024-02-08,Grocery Store,-102.15,Groceries
2024-02-09,Electric Company,-110.00,Utilities
2024-02-10,Coffee Shop,-5.50,Food
2024-02-11,Gas Station,-48.00,Transportation
2024-02-12,Amazon Purchase,-124.99,Shopping
2024-02-13,Restaurant Dinner,-55.00,Food
2024-02-14,Spotify Premium,-9.99,Entertainment
2024-02-15,Gym Membership,-50.00,Health
2024-02-16,Grocery Store,-89.75,Groceries
2024-02-17,Lyft Ride,-24.50,Transportation
2024-02-18,Phone Bill,-85.00,Utilities
2024-02-19,Coffee Shop,-6.00,Food
2024-02-20,Concert Tickets,-125.00,Entertainment
2024-02-21,Dividend Payment,45.00,Income
2024-02-22,Insurance Premium,-150.00,Insurance
2024-02-23,Grocery Store,-115.40,Groceries
2024-02-24,Restaurant Brunch,-38.00,Food
2024-02-25,Gas Station,-55.00,Transportation
2024-02-26,Book Purchase,-24.99,Education
2024-02-27,Coffee Shop,-5.25,Food
2024-02-28,Doctor Visit,-150.00,Health
2024-02-29,Internet Bill,-70.00,Utilities
2024-03-05,Salary Deposit,4500.00,Income
2024-03-06,Rent Payment,-1200.00,Housing
2024-03-07,Netflix Subscription,-15.99,Entertainment
2024-03-08,Grocery Store,-98.20,Groceries
2024-03-09,Electric Company,-88.00,Utilities
2024-03-10,Coffee Shop,-5.75,Food
2024-03-11,Gas Station,-42.00,Transportation
2024-03-12,Home Depot,-245.00,Home Improvement
2024-03-13,Restaurant Dinner,-48.00,Food
2024-03-14,Spotify Premium,-9.99,Entertainment
2024-03-15,Gym Membership,-50.00,Health
2024-03-16,Grocery Store,-132.80,Groceries
2024-03-17,Uber Ride,-15.00,Transportation
2024-03-18,Phone Bill,-85.00,Utilities
2024-03-19,Coffee Shop,-6.50,Food
2024-03-20,Streaming Service,-14.99,Entertainment
2024-03-21,Bonus Payment,1200.00,Income
2024-03-22,Insurance Premium,-150.00,Insurance
2024-03-23,Grocery Store,-88.90,Groceries
2024-03-24,Restaurant Lunch,-28.00,Food
2024-03-25,Gas Station,-50.00,Transportation
2024-03-26,Software Subscription,-49.99,Technology
2024-03-27,Coffee Shop,-5.50,Food
2024-03-28,Vitamins,-42.00,Health
2024-03-29,Clothing Store,-156.00,Shopping
2024-03-30,Water Bill,-48.00,Utilities
2024-03-31,Interest Income,15.25,Income
2024-04-05,Salary Deposit,4750.00,Income
2024-04-06,Rent Payment,-1200.00,Housing
2024-04-07,Netflix Subscription,-15.99,Entertainment
2024-04-08,Grocery Store,-95.50,Groceries
2024-04-09,Electric Company,-82.00,Utilities
2024-04-10,Coffee Shop,-5.50,Food
2024-04-11,Gas Station,-47.00,Transportation
2024-04-12,Electronics Store,-350.00,Shopping
2024-04-13,Restaurant Dinner,-62.00,Food
2024-04-14,Spotify Premium,-9.99,Entertainment
2024-04-15,Gym Membership,-50.00,Health
2024-04-16,Grocery Store,-108.25,Groceries
2024-04-17,Train Ticket,-35.00,Transportation
2024-04-18,Phone Bill,-85.00,Utilities
2024-04-19,Coffee Shop,-6.75,Food
2024-04-20,Museum Entry,-25.00,Entertainment
2024-04-21,Side Hustle Income,320.00,Income
2024-04-22,Insurance Premium,-150.00,Insurance
2024-04-23,Grocery Store,-122.00,Groceries
2024-04-24,Restaurant Dinner,-45.00,Food
2024-04-25,Gas Station,-55.00,Transportation
2024-04-26,Cloud Storage,-2.99,Technology
2024-04-27,Coffee Shop,-5.25,Food
2024-04-28,Eye Doctor,-200.00,Health
2024-04-29,Department Store,-89.00,Shopping
2024-04-30,Internet Bill,-70.00,Utilities
2024-05-05,Salary Deposit,4750.00,Income
2024-05-06,Rent Payment,-1200.00,Housing
2024-05-07,Netflix Subscription,-15.99,Entertainment
2024-05-08,Grocery Store,-105.00,Groceries
2024-05-09,Electric Company,-75.00,Utilities
2024-05-10,Coffee Shop,-5.50,Food
2024-05-11,Gas Station,-52.00,Transportation
2024-05-12,Furniture Store,-450.00,Home Improvement
2024-05-13,Restaurant Dinner,-58.00,Food
2024-05-14,Spotify Premium,-9.99,Entertainment
2024-05-15,Gym Membership,-50.00,Health
2024-05-16,Grocery Store,-98.60,Groceries
2024-05-17,Uber Ride,-22.00,Transportation
2024-05-18,Phone Bill,-85.00,Utilities
2024-05-19,Coffee Shop,-6.00,Food
2024-05-20,Theater Tickets,-85.00,Entertainment
2024-05-21,Refund from Store,45.00,Income
2024-05-22,Insurance Premium,-150.00,Insurance
2024-05-23,Grocery Store,-135.20,Groceries
2024-05-24,Restaurant Brunch,-42.00,Food
2024-05-25,Gas Station,-48.00,Transportation
2024-05-26,App Purchase,-4.99,Technology
2024-05-27,Coffee Shop,-5.75,Food
2024-05-28,Dentist Visit,-180.00,Health
2024-05-29,Online Shopping,-67.00,Shopping
2024-05-30,Water Bill,-52.00,Utilities
2024-05-31,Dividend Payment,52.00,Income
2024-06-05,Salary Deposit,4750.00,Income
2024-06-06,Rent Payment,-1200.00,Housing
2024-06-07,Netflix Subscription,-15.99,Entertainment
2024-06-08,Grocery Store,-112.50,Groceries
2024-06-09,Electric Company,-125.00,Utilities
