date,description,amount,category
2025-11-24,DUKE ENERGY store #399,-93.7,Utilities
2025-04-21,DISNEY+ store #826,-193.79,Entertainment
2025-02-18,NINTENDO,-123.27,Entertainment
2025-10-09,UBER,-121.97,Transport
2026-01-01,VERIZON store #608,-17.01,Utilities
2025-04-22,DUNKIN,-57.56,Dining
2025-08-30,DISNEY+,-113.03,Entertainment
2025-06-19,TRADER JOE'S store #674,-104.81,Groceries
2026-01-06,WALGREENS,-169.27,Health
2025-02-27,BEST BUY,-142.84,Shopping
2025-10-25,UBER EATS store #978,-38.93,Dining
2025-07-30,BEST BUY store #266,-95.63,Shopping
2026-01-09,APARTMENT RENT,-1494.31,Rent
2025-02-20,LYFT,-127.49,Transport
2026-01-21,DIRECT DEPOSIT store #461,3569.44,Income
2025-02-20,CITY ELECTRIC,-10.74,Utilities
2025-11-13,HOSPITAL,-16.74,Health
2026-01-05,H&M,-69.12,Shopping
2025-11-03,ALDI,-170.67,Groceries
2025-08-22,APARTMENT RENT,-1094.7,Rent
2025-12-02,POS PURCHASE WATER DEPT,-97.71,Utilities
2025-06-29,SPOTIFY store #545,-140.35,Entertainment
2026-01-23,NINTENDO store #113,-66.98,Entertainment
2025-04-22,WATER DEPT store #825,-125.09,Utilities
2025-11-21,DELTA,-184.23,Transport
2025-11-05,STEAM store #835,-155.54,Entertainment
2025-04-19,PAYROLL,3929.88,Income
2025-06-11,LEASING OFFICE store #327,-1040.26,Rent
2025-08-22,LYFT store #556,-185.86,Transport
2025-06-14,SALARY,2852.11,Income
2025-04-12,DENTIST store #991,-27.4,Health
2025-07-19,APARTMENT RENT,-1524.52,Rent
2025-10-30,PUBLIX,-9.08,Groceries
2026-01-31,ZARA,-34.89,Shopping
2025-08-16,ZARA store #425,-117.53,Shopping
2025-06-20,SOUTHWEST,-122.16,Transport
2025-04-21,MCDONALDS,-11.87,Dining
2025-05-16,SHELL,-146.56,Transport
2025-07-11,DIVIDEND,3178.5,Income
2025-06-24,WHOLE FOODS,-156.48,Groceries
2025-06-21,QUEST DIAGNOSTICS store #582,-185.64,Health
2025-07-19,DUKE ENERGY,-73.83,Utilities
2025-06-03,TRADER JOE'S,-141.17,Groceries
2025-05-14,LEASING OFFICE,-1731.7,Rent
2025-06-03,LEASING OFFICE,-1169.67,Rent
2026-02-07,APARTMENT RENT,-1015.62,Rent
2025-09-15,DOMINOS,-180.76,Dining
2025-02-11,TRADER JOE'S store #486,-163.93,Groceries
2025-05-22,PAYROLL store #998,3148.39,Income
2025-03-06,COMCAST store #877,-186.73,Utilities
2025-05-23,POS PURCHASE WALMART,-80.15,Groceries
2025-12-03,TRADER JOE'S store #907,-39.49,Groceries
2025-11-05,DISNEY+ store #900,-119.2,Entertainment
2026-01-19,PUBLIX,-85.2,Groceries
2025-08-10,BURGER KING,-7.13,Dining
2025-07-31,LYFT,-60.97,Transport
2025-07-19,APARTMENT RENT,-1818.03,Rent
2025-06-28,STARBUCKS,-98.14,Dining
2025-06-15,COMCAST,-155.81,Utilities
2025-11-26,DUKE ENERGY,-198.72,Utilities
2025-10-04,BEST BUY,-38.19,Shopping
2025-03-10,MORTGAGE,-1523.86,Rent
2025-03-15,MTA store #525,-164.39,Transport
2025-08-06,CHEVRON,-167.42,Transport
2025-12-15,SHELL store #357,-15.34,Transport
2026-02-03,UBER,-123.1,Transport
2025-02-25,SHELL store #590,-49.41,Transport
2025-09-08,REFUND,4962.55,Income
2026-01-22,UBER EATS,-126.49,Dining
2025-05-11,SALARY store #391,2221.7,Income
2025-09-24,DIVIDEND store #540,2275.38,Income
2025-04-22,WHOLE FOODS,-167.12,Groceries
2025-04-08,MORTGAGE,-1913.63,Rent
2025-12-15,NINTENDO,-68.24,Entertainment
2026-02-09,APPLE,-164.87,Shopping
2025-09-28,NETFLIX,-51.04,Entertainment
2025-04-12,MTA,-113.99,Transport
2025-07-19,LEASING OFFICE,-1689.57,Rent
2025-11-01,UNIQLO store #284,-149.13,Shopping
2025-04-12,DUNKIN store #567,-82.21,Dining
2025-08-07,LEASING OFFICE store #651,-1842.45,Rent
2025-05-12,STARBUCKS,-182.73,Dining
2025-11-07,SALARY,2369.39,Income
2025-08-11,PLAYSTATION,-92.96,Entertainment
2026-01-23,LEASING OFFICE,-1152.18,Rent
2025-07-04,WALGREENS,-15.09,Health
2025-08-26,VERIZON,-118.03,Utilities
2026-01-23,TRADER JOE'S,-187.02,Groceries
2025-04-07,PUBLIX,-37.97,Groceries
2025-02-18,PUBLIX,-31.37,Groceries
2026-02-04,APARTMENT RENT,-1277.11,Rent
2026-01-07,DUNKIN store #864,-114.27,Dining
2025-03-19,AT&T,-191.88,Utilities
2025-03-01,SPOTIFY,-126.38,Entertainment
2025-05-06,CINEMA,-180.41,Entertainment
2025-10-15,DOMINOS store #725,-175.01,Dining
2025-03-24,AMAZON,-139.01,Shopping
2026-02-06,UBER EATS,-57.8,Dining
2025-05-07,WATER DEPT store #799,-83.4,Utilities
2025-07-24,TACO BELL,-94.5,Dining
2025-07-30,DIRECT DEPOSIT,2206.5,Income
2025-12-22,LEASING OFFICE store #203,-1008.64,Rent
2025-07-12,CINEMA store #564,-137.54,Entertainment
2025-10-11,DUKE ENERGY,-186.55,Utilities
2025-02-22,WALGREENS,-134.74,Health
2025-06-10,DUNKIN store #340,-118.63,Dining
2025-06-08,DUNKIN store #434,-151.75,Dining
2025-03-20,ZARA,-46.94,Shopping
2025-10-02,MCDONALDS,-131.24,Dining
2025-02-11,APPLE,-7.62,Shopping
2026-01-09,DENTIST,-172.03,Health
2025-06-20,LEASING OFFICE,-1302.45,Rent
2025-07-05,LEASING OFFICE store #837,-1256.94,Rent
2026-02-02,PAYROLL,2394.84,Income
2026-02-03,SAFEWAY,-41.69,Groceries
2025-07-18,KROGER store #983,-5.93,Groceries
2025-03-07,APARTMENT RENT store #441,-1313.13,Rent
2025-11-02,NIKE,-20.51,Shopping
2025-04-09,POS PURCHASE LEASING OFFICE store #251,-1395.44,Rent
2025-10-08,DENTIST,-154.15,Health
2025-07-13,DIRECT DEPOSIT,2285.71,Income
2025-05-25,APPLE,-181.03,Shopping
2026-01-26,NETFLIX,-26.41,Entertainment
2026-01-24,SHELL store #406,-46.05,Transport
2025-11-19,UBER EATS,-100.38,Dining
2025-12-03,HOSPITAL,-43.51,Health
2025-08-17,SHELL,-161.8,Transport
2025-03-23,AMTRAK,-128.13,Transport
2025-03-17,NIKE,-127.8,Shopping
2025-05-17,EXXON store #748,-7.7,Transport
2025-10-02,POS PURCHASE DIVIDEND,2538.5,Income
2025-12-22,SALARY,2166.09,Income
2025-05-17,ZARA,-34.27,Shopping
2025-03-18,NETFLIX,-106.02,Entertainment
2025-07-07,PAYROLL store #127,2986.33,Income
2025-11-01,LEASING OFFICE,-1027.96,Rent
2025-05-15,NETFLIX,-116.15,Entertainment
2025-05-07,BP,-197.14,Transport
2025-12-10,MORTGAGE,-1357.72,Rent
2025-03-23,TRADER JOE'S,-64.03,Groceries
2026-01-03,HOSPITAL,-153.46,Health
2025-10-11,DIVIDEND store #811,4842.2,Income
2025-09-10,REFUND store #704,3523.52,Income
2025-07-13,WATER DEPT,-92.78,Utilities
2025-06-03,CVS,-114.59,Health
2025-07-03,CHIPOTLE,-124.24,Dining
2025-05-10,CITY ELECTRIC store #974,-27.85,Utilities
2025-04-21,SHELL,-122.04,Transport
2026-02-01,MCDONALDS store #665,-135.55,Dining
2025-04-30,BURGER KING,-183.9,Dining
2025-09-14,POS PURCHASE NIKE,-196.17,Shopping
2025-05-01,POS PURCHASE PUBLIX store #205,-143.83,Groceries
2025-10-11,WATER DEPT,-188.43,Utilities
2025-09-25,TARGET,-170.01,Shopping
2025-10-27,HULU,-111.16,Entertainment
2025-03-29,UNIQLO,-162.45,Shopping
2025-05-17,LEASING OFFICE store #989,-1363.65,Rent
2025-07-30,APARTMENT RENT,-1804.69,Rent
2025-05-12,SPOTIFY,-114.3,Entertainment
2026-01-15,MCDONALDS,-31.02,Dining
2025-03-20,SUBWAY,-5.51,Dining
2025-10-13,STEAM,-89.34,Entertainment
2025-12-02,DELTA,-46.8,Transport
2025-05-03,WATER DEPT,-43.54,Utilities
2025-09-15,POS PURCHASE APARTMENT RENT,-1777.09,Rent
2025-02-24,APARTMENT RENT,-1722.97,Rent
2025-03-13,TRADER JOE'S store #627,-149.59,Groceries
2025-03-08,MCDONALDS,-81.24,Dining
2025-08-11,DUNKIN,-121.35,Dining
2026-01-29,COMCAST,-74.19,Utilities
2026-01-28,PAYROLL,3703.58,Income
2025-09-28,POS PURCHASE DIVIDEND,2218.46,Income
2025-07-13,APPLE store #511,-75.18,Shopping
2025-06-20,WEGMANS,-38.07,Groceries
2025-08-10,MORTGAGE store #943,-1827.7,Rent
2025-12-19,DENTIST store #281,-175.69,Health
2025-07-18,SALARY,2079.81,Income
2025-07-18,AMAZON,-5.49,Shopping
2025-02-28,REFUND store #720,3008.56,Income
2026-01-03,PLAYSTATION,-176.44,Entertainment
2025-09-17,UNIQLO,-45.74,Shopping
2025-09-13,WATER DEPT,-185.38,Utilities
2025-07-03,PAYROLL,4527.88,Income
2025-03-24,UBER,-188.57,Transport
2025-11-01,CHIPOTLE store #528,-103.43,Dining
2025-09-26,ZARA,-182.51,Shopping
2025-03-15,DIRECT DEPOSIT store #559,3847.79,Income
2025-12-18,CHEVRON,-178.32,Transport
2025-10-02,STEAM,-63.17,Entertainment
2025-02-16,LEASING OFFICE,-1186.68,Rent
2025-10-27,CVS,-153.64,Health
2025-09-03,DENTIST,-14.4,Health
2025-09-18,WEGMANS,-188.58,Groceries
2025-06-23,DOCTOR,-141.43,Health
2025-06-03,CHEVRON,-110.56,Transport
2025-07-18,APPLE,-143.0,Shopping
2025-12-15,HOSPITAL,-196.83,Health
2026-01-15,REFUND store #914,2083.96,Income
2025-10-29,VERIZON store #790,-199.1,Utilities
2025-04-18,BP,-69.95,Transport
2025-07-20,DIRECT DEPOSIT store #719,2131.24,Income
2025-11-02,REFUND,3903.11,Income
2025-07-08,ALDI,-82.04,Groceries
2025-08-14,COMCAST,-123.62,Utilities
2026-01-03,SPOTIFY,-50.48,Entertainment
2025-04-05,DOORDASH store #904,-150.28,Dining
2025-07-07,DUNKIN store #651,-17.51,Dining
2025-02-13,POS PURCHASE AT&T,-132.4,Utilities
2025-12-26,CHEVRON,-146.67,Transport
2026-01-26,DISNEY+,-109.09,Entertainment
2025-10-07,POS PURCHASE WHOLE FOODS,-151.34,Groceries
2026-02-03,POS PURCHASE DUKE ENERGY,-155.04,Utilities
2025-02-18,CINEMA store #408,-61.65,Entertainment
2025-03-08,LEASING OFFICE store #619,-1018.14,Rent
2025-04-15,POS PURCHASE SALARY,4142.78,Income
2026-01-04,WATER DEPT store #606,-138.5,Utilities
2025-12-05,POS PURCHASE LEASING OFFICE,-1242.03,Rent
2025-12-14,DUKE ENERGY,-186.56,Utilities
2025-11-09,CVS,-145.45,Health
2025-03-03,SPOTIFY,-90.73,Entertainment
2025-05-27,VERIZON store #390,-176.95,Utilities
2025-09-15,PAYROLL store #927,4073.26,Income
2025-08-13,CITY ELECTRIC store #409,-120.54,Utilities
2025-06-17,PAYROLL store #288,3602.78,Income
2025-03-06,LEASING OFFICE store #515,-1131.89,Rent
2025-08-13,LYFT,-50.99,Transport
2025-02-10,SALARY,2491.5,Income
2025-10-27,APARTMENT RENT,-1467.08,Rent
2025-11-19,HOSPITAL store #482,-189.38,Health
2025-09-01,REFUND,3715.06,Income
2025-11-13,WATER DEPT,-195.83,Utilities
2025-11-12,CINEMA,-198.74,Entertainment
2025-05-26,WEGMANS store #133,-178.4,Groceries
2025-04-12,PAYROLL,4926.22,Income
2025-04-08,POS PURCHASE COMCAST,-38.3,Utilities
2025-12-01,DISNEY+,-199.05,Entertainment
2025-06-22,SALARY,2351.45,Income
2025-11-06,SAFEWAY store #955,-45.55,Groceries
2026-02-03,AMAZON,-34.17,Shopping
2025-07-17,DISNEY+,-168.81,Entertainment
2025-04-29,WATER DEPT store #243,-7.03,Utilities
2025-09-13,STARBUCKS,-156.84,Dining
2025-02-27,TACO BELL,-84.5,Dining
2025-11-05,POS PURCHASE SHELL store #952,-112.42,Transport
2025-08-28,EXXON,-26.26,Transport
2025-08-12,UNIQLO,-41.73,Shopping
2025-03-27,POS PURCHASE EXXON,-190.64,Transport
2025-10-12,DIVIDEND,4373.08,Income
2025-09-13,AMAZON,-34.12,Shopping
2025-04-24,APARTMENT RENT store #174,-1034.12,Rent
2025-05-08,H&M,-78.05,Shopping
2025-12-24,DOCTOR,-35.29,Health
2025-08-11,WALMART,-107.41,Groceries
2025-10-01,POS PURCHASE LYFT,-134.04,Transport
2025-03-13,AMAZON,-99.62,Shopping
2025-05-07,DIVIDEND,3289.07,Income
2025-03-24,BURGER KING store #256,-125.83,Dining
2026-01-13,DUKE ENERGY,-45.42,Utilities
2025-09-22,STARBUCKS,-84.41,Dining
2025-07-13,MORTGAGE,-1523.42,Rent
2025-02-16,PLAYSTATION store #307,-32.8,Entertainment
2025-10-09,SPOTIFY store #173,-145.45,Entertainment
2025-04-10,HULU store #469,-94.83,Entertainment
2025-06-19,SPOTIFY store #700,-60.07,Entertainment
2025-04-13,CINEMA,-105.77,Entertainment
2025-11-22,UBER EATS store #577,-144.02,Dining
2025-09-21,SAFEWAY,-15.57,Groceries
2025-07-14,POS PURCHASE LEASING OFFICE,-1197.87,Rent
2026-01-21,DIVIDEND,3029.87,Income
2025-11-24,CHEVRON,-29.58,Transport
2025-08-06,QUEST DIAGNOSTICS store #306,-138.38,Health
2025-11-16,NETFLIX store #761,-100.56,Entertainment
2025-04-30,DIRECT DEPOSIT,3869.81,Income
2025-10-13,VERIZON store #935,-91.49,Utilities
2025-06-24,APPLE,-39.71,Shopping
2026-01-23,PUBLIX,-111.41,Groceries
2025-07-23,CVS,-87.14,Health
